ID,IRI,PREF_LABEL,DEFINITION
44,http://pid.geoscience.gov.au/def/voc/ga/materialtype/suspended_solids,suspended solids,Sediment and biological particles collected from a water column that are separated by filtration and are not dissolved.
45,http://pid.geoscience.gov.au/def/voc/ga/materialtype/unknown,unknown,Material type is unknown
46,http://pid.geoscience.gov.au/def/voc/ga/materialtype/unspecified_seabed_materials,unspecified seabed materials,"A sample that contains a mixture of materials from the seabed, possibly animal, vegetable, and mineral material."
47,http://pid.geoscience.gov.au/def/voc/ga/materialtype/wax,wax,A light coloured solid precipitated from either a hydrocarbon gas or oil
48,http://pid.geoscience.gov.au/def/voc/ga/materialtype/crude_oil,crude oil,"A naturally occurring complex liquid hydrocarbon, typically found as part of drilling activity, which after distillation and removal of impurities yields a range of combustible fuels, petrochemicals and lubricants."
49,http://pid.geoscience.gov.au/def/voc/ga/materialtype/fluid,fluid,Unspecified fluid material.
50,http://pid.geoscience.gov.au/def/voc/ga/materialtype/groundwater,groundwater,"Synonym: formation water.  Part of the subsurface water that is in the zone of saturation, i.e., below the water table.  Can be located in one or several aquifers, aquicludes or aquitards."
51,http://pid.geoscience.gov.au/def/voc/ga/materialtype/inorganic_gas,inorganic gas,Any non-hydrocarbon-based gas.
52,http://pid.geoscience.gov.au/def/voc/ga/materialtype/hydrocarbon_gas,hydrocarbon gas,"A fluid hydrocarbon that is a gas at the surface. In the subsurface this sample maybe be free of liquid hydrocarbons, contain dissolved liquid hydrocarbons, or be dissolved in oil."
53,http://pid.geoscience.gov.au/def/voc/ga/materialtype/marine_sediment,marine sediment,"A sediment (including porewater) deposited in a submarine or coastal, brackish or saline environment."
54,http://pid.geoscience.gov.au/def/voc/ga/materialtype/rock,rock,A consolidated aggregate of one or more minerals or other rocks
55,http://pid.geoscience.gov.au/def/voc/ga/materialtype/animal_material,animal material,"Any material of or excreted from an animal.  eg; animal tissue, faeces, hair"
56,http://pid.geoscience.gov.au/def/voc/ga/materialtype/regolith,regolith,"Typically unconsolidated or fragmental material, either transported or residual origin, which covers bedrock. Includes surficial duricrusts that cap bedrock."
57,http://pid.geoscience.gov.au/def/voc/ga/materialtype/sediment,sediment,Unconsolidated sedimentary material.
58,http://pid.geoscience.gov.au/def/voc/ga/materialtype/vegetation,vegetation,"Any part of a plant whether it be moss, grass, sedge, or the roots, bark, twigs or leaves of trees and shrubs."
59,http://pid.geoscience.gov.au/def/voc/ga/materialtype/organic_material,organic material,Any carbon-based material.
60,http://pid.geoscience.gov.au/def/voc/ga/materialtype/fluid_hydrocarbon,fluid hydrocarbon,Any carbon-hydrogen fluid material
61,http://pid.geoscience.gov.au/def/voc/ga/materialtype/hydrocarbon_material,hydrocarbon material,Any carbon-hydrogen based material.
62,http://pid.geoscience.gov.au/def/voc/ga/materialtype/water,water,"Undivided saline, brackish, or fresh water."
